Type,Method,Regionname,Rooms,Bathroom,Car,Distance,Distance_2,YearBuilt,YearBuilt_2,YearBuilt_3,Propertycount,Log_landsize,Log_buildingarea,CPI,SC_Distance,Jan_h,Feb_t,Log_price
h,S,Northern Metropolitan,2,1,0,2.5,6.25,1900,3610000,1730934592,4019,5.056245805348308,4.382026634673881,1.004,4.723658588822936,0,0,13.849912950864715
h,VB,Northern Metropolitan,4,1,2,2.5,6.25,2014,4056196,420755848,4019,4.795790545596741,4.962844630259907,1.004,4.863025923819803,0,0,14.285514812209815
u,S,Northern Metropolitan,2,1,1,2.5,6.25,1970,3880900,944561592,4019,0.0,4.110873864173311,1.004,5.769482733700554,0,0,13.122365377402328
h,PI,Northern Metropolitan,2,2,1,2.5,6.25,2013,4052169,432918395,4019,4.8283137373023015,4.912654885736052,1.004,5.101421973649243,0,0,13.910821646859095
h,S,Northern Metropolitan,2,1,0,2.5,6.25,1900,3610000,1730934592,4019,5.209486152841421,4.418840607796598,1.004,5.737877519181896,0,0,13.827934065616665
h,S,Western Metropolitan,3,1,2,13.5,182.25,1960,3841600,1060398592,3464,6.879355804460439,4.736198448394496,1.004,17.837551322636052,0,0,13.629182184591333
t,SP,Western Metropolitan,3,2,1,13.5,182.25,2010,4040100,469333592,3464,5.087596335232384,4.624972813284271,1.004,16.96736175086619,0,0,13.199326270390594
h,S,Western Metropolitan,3,1,1,13.5,182.25,1975,3900625,886200217,3464,6.363028103540465,4.736198448394496,1.004,17.629880345801467,0,0,13.437175577097312
h,VB,Southern Metropolitan,3,2,1,3.3,10.889999999999999,1900,3610000,1730934592,3280,5.356586274672012,4.997212273764115,1.004,3.6077595085182708,0,0,14.508658238524095
h,VB,Southern Metropolitan,4,3,1,3.3,10.889999999999999,1910,3648100,1622063592,3280,5.793013608384144,5.541263545158426,1.004,3.62287145811088,0,0,14.845130332288226
h,SP,Southern Metropolitan,3,1,1,3.3,10.889999999999999,1900,3610000,1730934592,3280,4.795790545596741,4.820281565605037,1.004,2.874994299300305,0,0,14.557448378884015
h,S,Southern Metropolitan,4,2,1,3.3,10.889999999999999,1880,3534400,1945262592,3280,5.214935757608986,4.983606621708336,1.004,3.080329021561043,0,0,14.576316854287645
h,S,Southern Metropolitan,2,1,0,3.3,10.889999999999999,1890,3572100,1838665592,3280,4.382026634673881,4.23410650459726,1.004,2.34697376317459,0,0,13.795308871054397
h,SP,Northern Metropolitan,3,1,1,6.4,40.96000000000001,2010,4040100,469333592,2211,5.198497031265826,4.882801922586371,1.004,10.520743813189572,0,0,13.670485941982712
u,VB,Northern Metropolitan,2,1,1,6.4,40.96000000000001,1960,3841600,1060398592,2211,0.0,4.110873864173311,1.004,11.467463344001965,0,0,12.873904582205107
t,S,Western Metropolitan,2,1,2,13.8,190.44000000000003,2013,4052169,432918395,5301,5.680172609017068,4.836281906951478,1.004,17.287252971944557,0,0,13.487007879880162
h,SP,Western Metropolitan,4,3,6,13.8,190.44000000000003,1962,3849444,1037325464,5301,6.964135612418245,5.3981627015177525,1.004,17.282077228071383,0,0,14.392124484065864
u,S,Western Metropolitan,3,1,2,13.8,190.44000000000003,1955,3822025,1117875717,5301,5.7430031878094825,4.553876891600541,1.004,17.927807684374663,0,0,13.353476685668044
h,S,Western Metropolitan,3,1,2,13.8,190.44000000000003,1950,3802500,1175059592,5301,6.408528791059498,4.477336814478207,1.004,17.05092354420142,0,0,13.426904041847699
u,S,Western Metropolitan,3,2,1,13.8,190.44000000000003,2007,4028049,505640249,5301,5.327876168789581,4.736198448394496,1.004,17.666507556363502,0,0,13.265599278590988
h,S,Western Metropolitan,3,1,2,11.1,123.21,1967,3869089,979436529,5132,6.282266746896006,5.123963979403259,1.004,11.424802245422669,0,0,13.434251602680698
h,VB,Western Metropolitan,3,2,1,11.1,123.21,2012,4048144,445068864,5132,0.0,4.875197323201151,1.004,10.477619127578148,0,0,13.487007879880162
h,S,Western Metropolitan,3,2,2,11.1,123.21,2012,4048144,445068864,5132,5.147494476813453,4.700480365792417,1.004,10.265753745272933,0,0,13.42246945133505
h,SP,Western Metropolitan,4,2,4,11.1,123.21,2008,4032064,493550080,5132,5.755742213586912,5.14166355650266,1.004,11.629570028854548,0,0,13.448786721172443
h,VB,Southern Metropolitan,3,1,2,6.3,39.69,1900,3610000,1730934592,4836,5.3612921657094255,4.672828834461906,1.004,9.44786214497654,0,0,14.077875591662238
h,S,Southern Metropolitan,3,1,2,6.3,39.69,1900,3610000,1730934592,4836,5.796057750765372,4.6913478822291435,1.004,9.715783333909068,0,0,14.45736497045232
u,S,Southern Metropolitan,2,1,1,6.3,39.69,1970,3880900,944561592,4836,0.0,4.343805421853684,1.004,10.59086088267063,0,0,13.161586013632684
u,S,Southern Metropolitan,3,1,1,6.3,39.69,1940,3763600,1288550592,4836,0.0,4.5217885770490405,1.004,10.32419686718378,0,0,13.675099554994853
h,SP,Western Metropolitan,3,2,2,5.9,34.81,1900,3610000,1730934592,6567,5.655991810819852,4.859812404361672,1.004,8.651809764665135,0,0,13.786082777139049
h,PI,Western Metropolitan,2,1,1,5.9,34.81,1890,3572100,1838665592,6567,5.3706380281276624,4.356708826689592,1.004,7.914338827254467,0,0,13.47302165746721
h,PI,Western Metropolitan,6,3,2,5.9,34.81,1887,3560769,1870763489,6567,6.922643891475888,6.077642243349034,1.004,8.157006992925822,0,0,14.70134249472477
h,SP,Western Metropolitan,2,1,1,5.9,34.81,1920,3686400,1512046592,6567,5.424950017481403,4.532599493153256,1.004,8.689854931774034,0,0,13.527829818844937
h,S,Western Metropolitan,2,1,1,5.9,34.81,1900,3610000,1730934592,6567,5.598421958998375,4.700480365792417,1.004,6.925021997616266,0,0,13.867154740783278
h,S,Western Metropolitan,3,1,1,5.9,34.81,1900,3610000,1730934592,6567,6.035481432524756,5.1298987149230735,1.004,7.556744309145197,0,0,14.13541850392694
h,S,Western Metropolitan,4,2,2,5.9,34.81,1978,3912484,851041240,6567,6.52795791762255,5.4510384535657,1.004,6.639104094428567,0,0,14.108180918195472
h,S,Western Metropolitan,3,1,1,5.9,34.81,1910,3648100,1622063592,6567,5.575949103146316,4.770684624465665,1.004,8.398708864388153,0,0,13.769467666582738
h,S,Western Metropolitan,4,3,2,5.9,34.81,1890,3572100,1838665592,6567,6.333279628139691,5.3230099791384085,1.004,8.409165513342305,0,0,14.310207409556293
h,S,Western Metropolitan,6,2,1,5.9,34.81,1900,3610000,1730934592,6567,6.135564891081739,5.659482215759621,1.004,6.3027180266714655,0,0,14.173185701536545
u,SP,Western Metropolitan,2,1,1,5.9,34.81,1995,3980025,649784717,6567,5.71042701737487,4.653960350157523,1.004,7.765054652786004,0,0,13.321215875492413
h,S,Western Metropolitan,3,3,1,5.9,34.81,1950,3802500,1175059592,6567,6.198478716492308,4.852030263919617,1.004,8.512155719818697,0,0,13.753636218075409
u,S,Western Metropolitan,2,1,1,5.9,34.81,1975,3900625,886200217,6567,0.0,4.143134726391533,1.004,7.715898015338121,0,0,12.999067423500716
h,S,Western Metropolitan,4,2,0,5.9,34.81,1900,3610000,1730934592,6567,6.037870919922137,5.0689042022202315,1.004,7.630078482354295,0,0,14.173185701536545
h,S,Western Metropolitan,3,2,1,5.9,34.81,1900,3610000,1730934592,6567,5.60947179518496,5.062595033026967,1.004,6.7237295223848275,0,0,13.937729075643883
h,PI,Western Metropolitan,2,1,3,5.9,34.81,1910,3648100,1622063592,6567,5.53338948872752,4.6913478822291435,1.004,6.806812370910674,0,0,13.465954500233115
h,PI,Western Metropolitan,2,1,1,5.9,34.81,1900,3610000,1730934592,6567,4.8283137373023015,4.356708826689592,1.004,6.312746399911116,0,0,13.541075028051122
h,S,Western Metropolitan,3,1,1,5.9,34.81,1900,3610000,1730934592,6567,5.631211781821365,5.117993812416755,1.004,7.29143118919476,0,0,14.081714365022162
